Review,Label Review,Kepuasan Umum/Sentimen
"aku kira bakal dpt nasinya jg, trus lain kali diperhatiin yaa ini gaada odengnya",Rasa & Tekstur Makanan,Neutral
"sambelnya dikittt banget, dan nasinya agak aneh rasanya","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Neutral
"nunggunya tadi lama, sampe sejam an🙂",Umum,Negative
"mantap, sausnya kurang banyak cuma sedikit banget",Porsi & Harga,Negative
"porsi kurang,makanan dingin tapi enak kok","Porsi & Harga , Rasa & Tekstur Makanan",Neutral
"Tidak menerima Complain sudah WA dengan jelas, follow up terus tanpa kabar 1x24jam, kalau ada yang salah orderan nya yasudah nikmati saja yang datang hehehe",Umum,Negative
"cuma minus cumi calamary'a aja sih msh agak amis dan potongan'a trlalu besaar"", overall good lah 😊",Umum,Negative
ke banyak kali deh....endulllllls,Porsi & Harga,Neutral
Biasa ajah sih tp tetep dikasih bintang 5 dengan harapan semoga ada lebih banyak varian dan kualitas rasa ditingkatkan.,"Kualitas Umum , Porsi & Harga , Rasa & Tekstur Makanan",Neutral
"Menu salah semua, gak profesional. Buat apa makan ayam geprek gak ada sambel/sausnya polosan, pesen yang ada sosisnya, tapi gak ada. Menu habis itu refund, bukan ganti seenaknya.","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Neutral
alhamdulillah nasinya gak kering lagi.. sambelnya enak cuman agak bau sabun dikit. overall enak,"Pelengkap (Sambal) , Rasa & Tekstur Makanan",Negative
"rasanya kok agak kecut / asem ya warna ayam nya juga cokelat kehitaman ,saya pesan Go-Jek barusan jam 2.00 mohon pengertiannya",Rasa & Tekstur Makanan,Positive
"Kreseknya disegel doooong.. pake selotip gofood kan murah tuh. takutnya ada driver yg iseng buka2 makanan, jadi kurang selera ☹️",Porsi & Harga,Negative
enak banget. mantap lah pokoknya,Rasa & Tekstur Makanan,Positive
"tolong lebih teliti lihat orderannya, saya pesan ekstra sambal 2 buah gakada semua",Pelengkap (Sambal),Neutral
"Nasinya kurang pulen, saus mentai dikit, sambelnya kurang jos, sendok kurang 1","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Negative
"enak sekali,mantaaaaaaaapppp",Rasa & Tekstur Makanan,Positive
beli 2 di kirim cuma 1,Umum,Neutral
lama bgt ngentod,Umum,Negative
"gk ad sambel bawangnya samsek, ayam asin🙏🏻","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Neutral
kalo nasinya nggak jadi ada baiknya gk usah di kasih ke pembeli,Rasa & Tekstur Makanan,Neutral
"porsi cukup,nasinya kurang mendukung,gak bisa dimakan karna kepedesen sambelnya","Pelengkap (Sambal) , Porsi & Harga , Porsi & Harga (Porsi Nasi) , Porsi & Harga (Porsi Sambal) , Rasa & Tekstur Makanan",Negative
Pesen enoki kripsi yg ada nori nya tapi tidak ada norinya…. 😓,Umum,Neutral
pesanan tidak dibatalkan atau diganti ketika ayam habis,Umum,Neutral
Tumben lama. Pesen ennoki tambahan tulisannya dipisah tapi pas diterima dicampur. Pesen karbonara cheese tapi ga dimasukin,Umum,Negative
porsinya lumayan banyak tapi kulit nya agak alot dan keras,"Porsi & Harga , Rasa & Tekstur Makanan",Negative
rasa enak. porsi sesuai. kebersihan top. kemasan aman. kualitas baik,"Kemasan & Kebersihan , Kualitas Umum , Porsi & Harga , Rasa & Tekstur Makanan",Positive
"Order jam 10 pesenan selesai jam 1 , terlalu lama",Umum,Negative
"Dipesanan ada catatan tanpa nasi namun tetap di kasih nasi, mohon nanti lebih di perhatikan lagi pesanan customer",Umum,Neutral
maaf masukan aja ya kak nasinya agak keras dan mau basi. ayam kemarin juga tumben banyak tepung aja di dalamnya tanpa ayam. terima kasih,"Porsi & Harga , Rasa & Tekstur Makanan",Negative
tidak sesuai yang dipesan,Umum,Positive
"saya pesen indomie ayam geprek sama nasi ayam geprek mentai, yg dateng malah nasi ayam geprek semuaa huhu",Umum,Neutral
"mas, pesenan e ga sesuai, jeneng adam, seng teko jenenge annisa, gek piye mas",Umum,Positive
Saya pesen tiga kok hilang 1,Umum,Neutral
kulitnya kurang garing bang😭,Rasa & Tekstur Makanan,Negative
nasinya kurang mateng dikit,Rasa & Tekstur Makanan,Negative
"porsi jumbo sangat mengenyangkan, sambelnya pedes bet pula","Pelengkap (Sambal) , Porsi & Harga , Porsi & Harga (Porsi Sambal)",Neutral
"keasinan ayamnyaa, hehe.. tapi enak kok👍🏻",Rasa & Tekstur Makanan,Positive
Harganya murah Tapi nasi nya Pero Dan ayam / cumi nya kurang krispi,Porsi & Harga,Negative
"enoki crispy, dan 3 dimsun + kulit ayamnya engga dikirimin🫠",Umum,Neutral
"nasi nya terlalu kering dan tidak enak di makan, kalau lauknya okey okey aja, tolong di perhatikan nasinya, udah menguning nasinya, makasih",Rasa & Tekstur Makanan,Neutral
suka banged mentai bakarnya paling favorit!!💖,Umum,Neutral
asinnn bangett kak cumi saus currynya :((,Rasa & Tekstur Makanan,Neutral
beli lauk aja dikasih menu nasi. akhirnya ga kemakan nasinya karena lg ga makan nasi. tolong diperhatikan ketelitiannya,Rasa & Tekstur Makanan,Neutral
"order sering banget tpi selalu buruk ga ada peningkatan malah ini ayam kaya batu, ga pernah nerima makan anget selalu dingin. klo ga bisa trima saran dri customer mending ga ush jualan.",Umum,Neutral
terlalu gosong..dan kering,Rasa & Tekstur Makanan,Negative
SALAH MENU MULU 😌,Umum,Negative
"Orderan salah semua, tolong dicek walaupun rame",Umum,Negative
"sesuai pesanan, fire cheese chickennya sausnya kyak terpisah tapi enak.. cumi enoki mentai bakarnya juga overall 👍🏻👍🏻",Rasa & Tekstur Makanan,Positive
seperti biasanya,Umum,Neutral
"Saya beli cumi dan dapetnya zonk, isinya cuma tepung alot tanpa cumi padahal langganan 🤣",Rasa & Tekstur Makanan,Neutral
pesen 3 item yg datng cmn 2,Umum,Neutral
cepat pelayanannya,Pelayanan,Positive
saya barusan pesen yang ada enoki nya kok ga dapet enoki nya ya? terus juga milih yg ada cumi tapi dapet ayam nya aja. rugi dong saya kalo begini,Umum,Neutral
"untuk tehnyaa sudah basii kok dijual yaa kakk🥲, cumi nya juga keras banget","Minuman , Rasa & Tekstur Makanan",Negative
"terlalu lama, masa iya gk ada solusinya",Umum,Negative
Tolong selalu seperti ini ya pelayanannya oke! 🔥,Pelayanan,Positive
maaf masak nasinya kurang air.tolong diperbaiki lagi. maksih 🙏,Rasa & Tekstur Makanan,Negative
"saya jujur kecewa banget dengan service yang ga jujur dari pihak joder, saya order cajun mayo tapi ternyata ga ada terus saya minta request di cumi ternyata juga ga ada. maksud saya kalo emang ga ada semuanya kenapa masih diterima orderan saya? kenapa masih ada menunya? kenapa masih buka restorannya? bener-bener ga profesional banget terkesan ngebercandain customer, berujung saya makan ga pakai saus sama sekali. tolong ya kedepannya beneran ditingkatin jangan cuman minta maaf dan minta maaf doang terus kasih promo ini hal serius ya.",Umum,Negative
telornya kebawa cangkangnya,Umum,Neutral
"Porsinya banyak, ngga ada enokinya pdhl pesen yg ada enoki 😞",Porsi & Harga,Neutral
"geprek saus kejunya terlalu manis, saran kurangin aja gulanya masih terlalu manis, agak neg sebenernya tdi tpi masih boleh lah",Rasa & Tekstur Makanan,Negative
saya tunggu sampe 1 setengah jam sudah begitu sausnya harusnya bbq malah dikasi curry tapi biasanya enak kok,Rasa & Tekstur Makanan,Positive
ketinggalan sambelnya:'),Pelengkap (Sambal),Neutral
"rasa saus perlu diseimbangkan, tingkat kepedasan perlu diatur lagi karena punya teman saya tidak pedas sama sekali tapi overall sudah melebihi ekspektasi this is not your ordinary ayam geprek thank you Joder Ka Dhani",Rasa & Tekstur Makanan,Neutral
enak cuma udang rambutan nyaa kecil banget🤣,Rasa & Tekstur Makanan,Positive
yg sy pesan jumbo yg datang biasa,Umum,Neutral
ayam gak fresh keras atos nasi trllu dikit trus gak ada pemanisnya kek lalapan gt ini bukan jualan tapi mainan anak² hrga trllu mahal ayam geprek 18k tapi tampilane gak bikin customer puas kek mainan aja,"Pelengkap (Lalapan) , Porsi & Harga , Rasa & Tekstur Makanan",Negative
"porsi gak sesuai, nasi dan sambalnya bau gosong.","Pelengkap (Sambal) , Porsi & Harga , Porsi & Harga (Porsi Nasi) , Porsi & Harga (Porsi Sambal)",Neutral
"saya paham kalau resto rame bakal susah buat liat orderan, tapi lain kali tolong dikonfirmasi lagi, saya beli 2 makanan sama 1 minuman yg Dateng cuma 1 makanan sama minumannya, yg satu entah kemana, padahal Abang gojeknya sudah minta konfirmasi tapi tetep cuma dapet 1 makanannya",Minuman,Neutral
enakkk bangett apalagi sambel bawang bakarnya .. beuhhhhh👍🏻,"Pelengkap (Sambal) , Rasa & Tekstur Makanan",Positive
selalu repeat order,Umum,Neutral
rasa ayamnya agak aneh trs ngga krispi,Rasa & Tekstur Makanan,Neutral
lama banget trs menunya salah pesen jamur enoki tp dikasih sosis 1 biji mana nasinya keras soalnya ada kerak nasi :(,Rasa & Tekstur Makanan,Negative
kak ini prasaan es teh nya beli 2 yg ukuran sm tp dpet nya 1 nya kecil,"Minuman , Minuman (Es teh) , Rasa & Tekstur Makanan",Neutral
"lama hehe, sampai kelaperan nungguin order",Umum,Negative
"ayamnya keras, sambelnya dikit padahal udh extra","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Negative
SAYA PESEN 3 TAPI YANG DATANG KOK 2,Umum,Neutral
very delicious food chef.,Umum,Neutral
"Mantab, enak, cepat","Pelayanan , Rasa & Tekstur Makanan",Positive
"pesan indomie datangnya nasi, pintar sekali",Umum,Neutral
"ayamnya enak sii, cuminya syg bgt pas alot",Rasa & Tekstur Makanan,Neutral
pesen calamary datengnya ayam gimana sih,Umum,Negative
Pesanan Tidak Sesuai Padahal Baru Aja Kemarin Malam Beli sesuai dan tadi sore pesan lagi tidak sesuai,Umum,Positive
"anjir pesen ayam geprek jumbo+enoki, ayamnya dapet kulit doang dagingnya dikit",Umum,Neutral
"HAL INI SUDAH TERJADI BERKALI-KALI, TOLONG CEK KEMBALI PESANAN PELANGGAN AGAR TIDAK KELIRU/KURANG, SAYA MERASA DIRUGIKAN!!! BAHKAN HARUS MENUNGGU SANGAT LAMA.",Rasa & Tekstur Makanan,Negative
kurang enak. cuma manis doang rasanya,Rasa & Tekstur Makanan,Neutral
"ayam bau, nasi mau basi.. tolong diperbaiki yaa joder!!",Umum,Negative
Gak ada sendoknya,Umum,Neutral
sambel bawangnya pedes pol,Pelengkap (Sambal),Neutral
"minta diganti cajun mayo, tapi tetep dikasih saos sambel",Pelengkap (Sambal),Neutral
"sambal nya lebih enak dipisah aja sih yaa, makasihh,Tpi tetep enak bngt","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Positive
"pesanan tidak sesuai dengan jumlah yang dipesan, kasian drivernya selalu balik lagi",Umum,Positive
Estehnya ketinggalan,Minuman,Neutral
TOLONG DI CEK LAGI YA NOTE. SAMBAL PISAH!!! BUKAN CAMPUR. GA JADI SAYA MAKAN. GA JADI SAYA BUAT SAHUR !!,Pelengkap (Sambal),Neutral
Topp .. markotop,Umum,Neutral
sosisnya nggak ada padahal pesan sama sosis,Umum,Neutral
"Sosisku nandi rek???, besok kalau aku beli kudu dikasih 2 sosisnya !!!!!",Umum,Neutral
order geprek sambal bawang 1 dan geprek saos mentai 1. Tapi dikirim smua mentai,Pelengkap (Sambal),Neutral
"Mantap enak, mentai nya banyakin ya 😍🔥","Porsi & Harga , Rasa & Tekstur Makanan",Positive
esnya kurang manis kalo lainya mantap,Rasa & Tekstur Makanan,Neutral
enak cuman nasiny benyek tapi yang lainnya enakkk,Rasa & Tekstur Makanan,Positive
enakkk tapi kejunya agak pelit ya kasinya:(,Rasa & Tekstur Makanan,Positive
Entah kenapa ayamnya bauk kayak basi gt dan dimakan agak anyir mungkin ayam yg lama digoreng lagi mohon maaf ya emang keadaanya begitu yg dateng meski ayamnya panas tapi warnanya agak kusam begitu kayaknkurang fresh,Umum,Negative
jadi kurang enak,Rasa & Tekstur Makanan,Neutral
Ketuker kah. Pesen ini datengnya ini,Umum,Neutral
Sosisnya ketinggalan 🥲,Umum,Neutral
"salh kirim, pesen cumi dikirim ayam",Umum,Neutral
ayamnya gak fresh,Umum,Neutral
"nasinya tumben sii, ayam panggang nya no recom sii, tapi untuk popkron chiken nya juwara puoll",Rasa & Tekstur Makanan,Neutral
"pesen telat, alasan karena ayamnya habis harusnya ada kompensasi",Umum,Neutral
"saya pesan Lauk ayam+jamur Enoki reg (galbi) + Nasi ayam toxbrut, semua pesanan sudah lengkap kecuali jamur Enoki nya, padahal saya pesan jamur Enoki tapi tidak dikasih😤😤😤",Umum,Neutral
Enak. tapi bumbu karinya agak keasinan daripada yang kemarin.,"Pelengkap (Bumbu) , Rasa & Tekstur Makanan",Positive
over pedasssssssss,Rasa & Tekstur Makanan,Neutral
cajun mayonya mau cup ajaa,Umum,Neutral
"entah siapa yg salah driver atau resto, pesen enoki yg + air mineral tanggung nambah 7500 kayanya. tapi baru sadar pas udah di lantai 2 kos ga ada airnya. plastik juga ga di cable ties, biasanya kl beli gofood suka dikasih cable ties item buat safetynya",Kemasan & Kebersihan,Negative
pesen nambah blackcurrant tea tp ga ada,Umum,Neutral
ayam panggangnya diganti ayam geprek krena katanya udah abis tapi ayam gepreknya asin bangeeet gakuat,Rasa & Tekstur Makanan,Neutral
kulitnya asin pol boss,Rasa & Tekstur Makanan,Neutral
"Sambelnya udh sesuai note kasihnya banyak tapi bau nya kayak mau basi rasanya juga tawar kayak cabe ulek ngga ada bumbunya, ayamnya sedikit banyakan remahan tepungnya pdhl udh pesen porsi jumbo, tepung ayamnya juga ngga gurih kayak dulu yg ini gosong 😞😞","Pelengkap (Bumbu) , Pelengkap (Sambal) , Porsi & Harga , Porsi & Harga (Porsi Sambal) , Rasa & Tekstur Makanan",Negative
sip sip sip sip sip sip,Umum,Neutral
pesanan gk lengkap,Umum,Neutral
"salah lagi aja hmm, pesen dua lauk, lauk ayam satu lagi kulit, eh malah dikasi ayam semua , meskipun rame tolong lebih teliti, rasa nya juga agak hambar ga seperti biasanya",Rasa & Tekstur Makanan,Negative
2 jam banget ini nunggu makanan :(,Umum,Neutral
"ayam tidak ada rasa, ada bagian yang hitam tidak fresh, ya mungkin emang frozen atau gimana ga paham juga, tapi jujur menganggu banget jadi ga nafsu, sambel bawang cabe tok ga ada rasa, mentai okelah masih enak","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Positive
"Pedess polll,porsi reguler seperti porsi jumbo",Porsi & Harga,Neutral
"pesan aja ga sesuai, pesen jamur enoki tapi ga afa, pesen udang keju ga ada keju dan saus keju nya",Umum,Positive
tolong diperhatikan untuk pesanannya karna tidak sesuai,Umum,Positive
Nasi kurang matang,Umum,Negative
tumben lumayan asinn,Rasa & Tekstur Makanan,Neutral
sebenarnya enak tapi nasi nya belum mateng :((,Rasa & Tekstur Makanan,Positive
"Enoki mushroom cajun mayo dimana masbro, tidak ada di Go-Jek lagi ta? 😭",Umum,Neutral
"rasa Ayam kali ini aneh, gk spt biasanya",Rasa & Tekstur Makanan,Neutral
KURANG SOSIS 1 UDAH LAPOR GAADA TINDAKAN,Umum,Negative
pesen 2 porsi ayam geprek+cemilan enoki tapi enokinya tidak di kasih. sudah di chat tapi tidak di balas,Porsi & Harga,Neutral
kak aku pesan 2 porsi x 2 kok yg datang cuma 2 biji. ini gimana ya,Porsi & Harga,Neutral
"saya pesen gelbi 1 mentai 2, malah dikasi gelbi 3",Umum,Neutral
ya kalo sambel abis ya buat lagi dong masa ya kasi cabe potong gitu aja.. sayang penilaian gabs sertakan foto.. Udah berubah2 rasa sambelnya.. maaf ya rasanya gak konsisten.. nasinya pun udah gak perak.. alias udah yg banyak air,"Kualitas Umum , Pelengkap (Sambal) , Porsi & Harga , Rasa & Tekstur Makanan",Neutral
Nasi Putih Basi dan Kecut gini kok bisa dikasih konsumen.,Umum,Neutral
"ayam basi, saos cajun mayo gak seperti biasanya",Umum,Negative
nasinya keras kayak hampir mau basi,Rasa & Tekstur Makanan,Negative
sambelnya ketinggalan,Pelengkap (Sambal),Neutral
"cuminya masih beku, wajannya cuma satu, diganti ayam, jualan alasannya banyak sekali",Porsi & Harga,Neutral
"toko tidak konfirmasi ulang langsung ke pembeli jika ada menu yang sedang kosong, akan tetapi konfirmasi melalui driver ojol saja, kalau menu ayamnya sedang kosong, sehingga saya pilih cumi sebagai penggantinya dan ketika saya menerima barangnya ternyata tidak sesuai dengan menu yang saya pilih, yg datang ternyata kulit. mohon maaf lain kali kalau semisalnya ada menu yg sedang kosong, mohon memberikan konfirmasi kepada pembeli langsung, terimakasih 🙏",Umum,Positive
nasinya kok tumben kyk buburr yaaa gk kyk biasanya akhirnya kebuang sia sia cmn mkn ayamnya aja hadehhhhh lain kali diperhatikan yaa,Rasa & Tekstur Makanan,Neutral
lain kali kalu jm makan siang masak nasi yg banyak biar gak nunggu 1 jam saya,Porsi & Harga,Neutral
"aku pesen lauk aja ko dikasi yg menu nasi si kak, terlanjur masak nasi ini gmn jdnya ga kemakan😔",Umum,Neutral
"SUDAH DIBILANG SAMBAL DIPISAH MASIH AJA DICAMPUR, MANA REQ NASI GANTI MIE MALAH NASI SEMUA",Pelengkap (Sambal),Neutral
"cuminya alot keras sekali, semoga kedepannya diperbaiki, ayamnya enak",Rasa & Tekstur Makanan,Negative
love banget dikasi bonus porsinya banyak banget + enakk 🥰🥰😋😋😋,"Porsi & Harga , Rasa & Tekstur Makanan",Positive
"udah beli 2x terakhir ini minta sambal bajak 2 porsi d kasih sambal bawang, ini bar beli lagi minta sambal pecel ma bajak, malah di kasih sambal bawang, pdhal minta sambal pecel, udah sering beli tp kecewa 2x terakhiran ini","Pelengkap (Sambal) , Porsi & Harga , Porsi & Harga (Porsi Sambal)",Negative
jangan telat lagi ya😌,Umum,Neutral
Saya pesen cumi dikasi ayam:),Umum,Neutral
minta sambal dipisah tp tidak dipisah,Pelengkap (Sambal),Neutral
datengnya lamaaaaa. aku order ada sosisnya eh pas dateng gak ada. ayamnya kebanyakan tulang dan kulit. padahal biasanya joder memuaskan. eh kenapa kali ini sangat-sangat kecewa,Porsi & Harga,Negative
nasinya masih belum matang,Rasa & Tekstur Makanan,Neutral
tidak ada perbedaan antara porsi reguler dan porsi jumbo,Porsi & Harga,Neutral
"mohon maaf, nasinya masih mentah. ayam porsi okey. kalo memang kurang tenaga mohon ditambah. dan lebih aware lagi sama kualitas nasi... soalnya nasinya masih keras. dan minyak dari sambelnya tumpah semua..","Kualitas Umum , Pelengkap (Sambal) , Porsi & Harga , Porsi & Harga (Porsi Nasi) , Porsi & Harga (Porsi Sambal) , Rasa & Tekstur Makanan",Negative
order 4 dikirim cuma 3,Umum,Neutral
"pesen nasi jamur enoki dan sosis, tapi sosis nya ga dikasih. cuma nasi dan jamur enoki aja👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿",Umum,Neutral
tidak dikasih minum padahal sudah pesan dengan minum,Minuman,Neutral
kalau bisa ada level kepedasannya biar costemer yg gasuka pedes biar sesuain,Rasa & Tekstur Makanan,Positive
"mantep pelayanan cepet, porsi pesanan sesuai ekspektasi, semoga terus konsisten. sukses selalu tim joder!👍🏻","Kualitas Umum , Pelayanan , Porsi & Harga",Positive
"sambel tolong dicoba dulu sebelum dijual biasanya enak, tapi hari ini saya beli rasanya kecut","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Positive
"3 kali saya pesan di sini lewat app beda tapi kecewa semua, 2x pesan cuminya gosong dan amis. sampe ga berani saya pesan cumi lagi. porsinya pun kadang reguler dan jumbo ga ada bedanya.. kali ini pesanan kurang... padahal dulu telaten loh tokonya, sekarang kok gini",Porsi & Harga,Negative
mantappp + enak 👍🏻 besok lagi kulit sosisnya di kupas ya kak :),Rasa & Tekstur Makanan,Positive
gasuka sambalnya,Pelengkap (Sambal),Neutral
"Kemasan praktis, rapi dan bukan sterofoam, bagus. Nasinya pera tapi ga yang kering, cocok untuk sambalnya yg banyak. Potongan ayamnya gede2. Untuk anak kos sekadar kenyang, ini pilihan yg tepat banget + bersih. Dari segi rasa, sambal bawang yg kurang rasa bawangnya, banyak sambalnya dan bijian cabenya tapi entah kenapa kurang pedas di aku (akunya yg penggila pedas aja kayaknya wkwk). Ada hint rempahnya entah itu jahe atau rempah sejenisnya, agaknya kurang cocok di aku sbg konsep sambal bawang geprek tapi justru malah kurang berasa bawangnya dan malah terasa rempah lainnya. Untuk pecinta makanan yg terasa rempah2, ni cocok sih sbg opsi ayam geprek. Sukses terus, seller! 👍🏼","Kemasan & Kebersihan , Minuman , Pelengkap (Sambal) , Porsi & Harga , Rasa & Tekstur Makanan",Negative
mantap gan👍 enak tenan,Rasa & Tekstur Makanan,Positive
nasinya terlalu lembek,Rasa & Tekstur Makanan,Neutral
"sebenarnya makanannya enak tapi laporan dari mamang gojeknya tempatnya gak recommended banget buat di beli (cek di gmaps) ahh oke deh, kebersihannya harap ditingkatkan lagi yaaa. Semangat!","Kemasan & Kebersihan , Rasa & Tekstur Makanan",Positive
Enakk kalo bumbunya disiram langsung daripada dipisah 👍🏻,"Pelengkap (Bumbu) , Rasa & Tekstur Makanan",Positive
"pertama kali nyoba ayam geprek ini, soalnya brand sblh blm buka tp ternyata zonk bgt. nasi nya keras, ayam nya alot, kulitnya juga alot kaya sisaan kmrn, udang kejunya gaada kejunya wkwkw heran jg. yg bs dimakan cm sosis sm udangnya meski gaada kejunya. pdhl kalo enak bkl repurchase, tp untuk 47K mikir² lagi sih dpt makanan kaya gt. sambel bawangnya enak, yang lain yh begitulah. smoga diperbaiki ya masakannya, ini makanan orang bukan kucing.","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Negative
sudah pernah coba di sidoarjo,Umum,Neutral
pak ayam nya kok gak fresh ya ada yang bau dan gak Krispy,Umum,Negative
bumbu kari nya asin bangettt sampai dominan pahit,"Pelengkap (Bumbu) , Rasa & Tekstur Makanan",Negative
"Yg kari ngga enak. Bumbunya kyk rempah banyak dan diblender, kyk jamu rasanya 😭 padahal dulu pernah beli enakk","Pelengkap (Bumbu) , Porsi & Harga , Rasa & Tekstur Makanan",Positive
"Dimsum dan udang rambutannya oke. Cuminya kurang fresh, agak bau. Arabian curry sauce terlalu asin. Pesen add on 1 dimsum/rambutan, 1 rambutan, 2 sosis sapi, tapi dikasih 2 udang rambutan dan 1 dimsum. Pengalaman kedua pesen di sini, kualitas menurun dari sebelumnya.","Kualitas Umum , Rasa & Tekstur Makanan",Negative
pesanan tidak lengkap saya pesan tambahan nasi putih terpisah dari pesanan paket promo tapi tidak saya terima,Umum,Neutral
tolong untuk lebih teliti lagi. saya pesan 1 nasi kulit *** kulit mini yg datang cuma 1 nasi kulit.. 1 kulit mini itu sy juga beli loh! meskipun cuma 12rb tapi itu Uang!! tolong jangan menyepelekan!!,Umum,Neutral
Ayamnya bau gabisa dimakan rasanya gaenak,Rasa & Tekstur Makanan,Neutral
Gak ada ayam nya semua nya kulit ayang yang tepung nya aja dan terlalu minyak gak worted,Umum,Neutral
"ayamnya udah enak bgt, sambelnya pedess poll, nasinya terlalu dikit, cuminya kering pol smpe tipis","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Neutral
"lauknya dingin, nasinya aja yg anget",Rasa & Tekstur Makanan,Neutral
sayang pesennya porsi jumbo.tapi yg datang cuman porsi biasa/sedikit sekali.,Porsi & Harga,Negative
makananya cumn sdikit bgt porsinya 🤕,Porsi & Harga,Neutral
pertahankan kualitas dan cita rasanya,"Kualitas Umum , Rasa & Tekstur Makanan",Neutral
"pesennnya jumbo yg dtg gk jumbo, porsi biasa. sambel asin banget kyk garam pindah ke sambelnya gmn ini????","Pelengkap (Sambal) , Porsi & Harga , Porsi & Harga (Porsi Sambal) , Rasa & Tekstur Makanan",Neutral
"enak, pedes polllll sambel e uakeh pisan. masok pak eko 😋👍","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Positive
"enak semua rasanya, tapi catatan nya ga dibaca. kedepannya lebih teliti lagi ya min untuk baca catatan pesanan.",Rasa & Tekstur Makanan,Positive
tidak sesuai iklan,Umum,Positive
"Karena saya hampir sering beli joder, kenapa sambal/sausnya antara cabang sukolilo dan Gubeng Airlangga berbeda. Mesti dikit yg di Unair. Apakah tidak ada takaran khusus yg sama. Please untuk sambal di samain banyaknya","Pelengkap (Sambal) , Porsi & Harga",Neutral
"aku cukup oke lah, pengemasannya bagus, sambel dipisah tapi agak salah 3 masnya dalam memberi orderan. Saya memesan ayam dan kulit tapi 2 2 nya daging ayam gaada kulit.",Pelengkap (Sambal),Neutral
nunggu 1 jam bukannya makanan datang malah dicancel,Umum,Neutral
enoki kremusnya mana??? gak ada,Umum,Neutral
sosinya ga ada🥺,Umum,Neutral
ga dapat sambalnya,Pelengkap (Sambal),Neutral
terimakasih chef,Umum,Neutral
"Rasa ayamnya sedikit masam, tapi masih tertolong dengan saus keju nya","Porsi & Harga , Rasa & Tekstur Makanan",Negative
nasinya bnyk batu kecil,Rasa & Tekstur Makanan,Neutral
"wkwkk cumi kosong okelah diganti ayam. pesen sambal bajak tanpa konfirmasi diganti sambal bawang. dan lagi aku pesen sosis gak ada sosisnya. yang bener aja, orang posisi laper dibikin emosi",Pelengkap (Sambal),Positive
"Halo kak, ada yang bisa @kadhaniii bantu? Info Promo dan Komplain serta kritik saran . Langsung Whatsapp admin yaa. Nomor ada di Bio yaps ;) Nomor : 087854513021",Umum,Neutral
"kecewa berat, biasanya pesan brutal dapat banyak. Sekarang malah dpat kek porsi jumbo. Semoga bisa jadi bahan evaluasi !",Porsi & Harga,Negative
1. Pesan Ayam Panggang ternyata habis & diganti Ayam Geprek tanpa konfirmasi 2. Pesan tambahan Udang Keju & Udang Rambutan tidak dikirim 3. Resto banyak alasan & menyalahkan driver,Porsi & Harga,Neutral
Ga sesuai sama pesananku. Aku minta nambah cajun bakar+nori ga dikasih. Tapi ya rasanya ttp sama lah,Rasa & Tekstur Makanan,Positive
"saya pesan ayam panggang + Enoki + udang keju + udang rambutan,,, tapi enoki nya gada, jadi kemungkinan untuk pengganti itu ayam nya yg di perbanyak. selain itu, udang keju apalagi udang rambutan nya keras dan ukuran nya kecil tidak sesuai dgn harga,,, overall tdk sesuai expektasi, kurang memuaskan","Porsi & Harga , Rasa & Tekstur Makanan",Negative
pas rasanya untuk harga segitu yang penting porsi jumbo.,"Porsi & Harga , Rasa & Tekstur Makanan",Neutral
Nasinya lembek kaya lontong,Rasa & Tekstur Makanan,Neutral
pesanan tidak sesuai,Umum,Positive
aku Nangis Kejer malem malem sambelnya Pedes banget 2 botol air sampai habis gara gara sambalnya nasinya banyak banget lagi porsinya,"Pelengkap (Sambal) , Porsi & Harga , Porsi & Harga (Porsi Nasi) , Porsi & Harga (Porsi Sambal) , Rasa & Tekstur Makanan",Neutral
yaaa mantap dahh gud,Umum,Positive
sambalnya nampol abis,Pelengkap (Sambal),Neutral
"enak bangett saos sama lauknya kyk biasa klo nasinya bisa ada porsi lebih, bakal lebih mantep XD","Porsi & Harga , Porsi & Harga (Porsi Nasi) , Rasa & Tekstur Makanan",Positive
pesen 2 nasi sambal bawang tpi dua duanya sambal nya ketinggalan😭,Pelengkap (Sambal),Neutral
"ayam bau dan rasa basi, kecewa bgt",Rasa & Tekstur Makanan,Negative
"ceweku suka banget ama cajun mayonya, makasi kak ❤️",Umum,Neutral
pesen cumi calamry dapetnya kriwilan tepung aja gk ada sama sekali cuminya,Umum,Neutral
Minyakan banget.,Umum,Neutral
"pesen makan setiap kali pasti ada yg kurang, contoh sosis.. ga dikasih??",Umum,Negative
